755,123,55,59,657,33,123,33,103,119,123,33,103,119,33,24,121,121,121,122
119,103,87,88,122,103,119,33,119,27,7,123,33,33,33,91,657,119,7,657
657,119,33,4,102,33,7,119,218,377,71,657,123,33,33,33,33,100,70,657
123,103,33,71,120,26,68,102,250,251,119,103,23,33,103,123,103,123,119,123
103,657,116,118,657,59,33,657,33,119,123,33,52,117,118,657,123,100,102,119
27,657,33,103,33,91,100,101,102,657,33,7,87,123,657,657,119,123,33,33
59,33,33,27,657,119,657,657,27,119,33,71,657,119,33,657,33,33,103,33
91,23,33,88,121,26,103,119,91,103,119,123,657,103,33,103,657,33,119,123
33,87,103,119,657,59,33,27,657,657,123,657,657,123,657,119,657,33,657,103
119,657,657,123,119,91,119,91,657,116,118,7,123,103,119,657,103,24,121,122
657,119,33,119,33,119,33,657,7,33,33,68,102,657,123,33,657,91,103,657
123,7,119,657,657,657,120,122,356,199,119,33,120,122,657,123,657,33,657,33
657,71,33,119,120,122,33,100,359,325,33,119,657,33,33,103,23,33,657,103
33,33,123,100,5,102,657,33,123,71,657,33,33,103,33,123,87,123,33,123
657,103,33,119,71,23,123,657,103,27,657,657,657,33,657,33,123,657,7,23
119,33,123,33,20,86,657,33,120,58,657,657,33,123,119,103,657,657,71,55
657,33,657,657,87,657,103,119,103,91,103,119,657,100,102,123,23,657,123,87
123,23,123,100,102,123,657,123,657,33,27,103,27,33,27,33,87,103,657,33
116,86,657,123,33,119,33,657,33,33,88,121,90,657,88,121,122,33,657,119
103,657,103,119,33,657,33,657,103,33,119,33,119,657,657,33,33,119,120,122
