561,657,33,33,33,657,119,657,123,33,123,33,103,657,103,55,657,119,33,119
657,123,119,33,119,33,100,102,119,657,657,119,123,657,116,86,103,657,33,33
657,657,33,657,33,33,119,120,122,214,215,100,102,120,26,33,33,657,103,27
657,657,119,657,23,27,657,119,103,340,247,33,27,657,91,119,657,33,119,59
103,657,657,657,87,91,103,123,116,54,657,119,91,100,102,120,122,657,657,91
119,103,119,103,123,657,657,33,33,87,103,123,119,33,657,23,33,657,119,103
33,119,103,657,33,33,657,103,119,27,657,657,657,7,657,87,27,657,657,657
33,657,33,123,119,7,33,657,33,91,103,33,100,70,23,657,91,657,100,102
103,33,33,33,657,71,120,122,119,103,119,657,119,33,87,657,657,123,33,33
657,103,27,103,119,657,657,33,33,33,657,103,123,657,103,33,123,100,102,123
7,119,91,119,33,657,123,657,657,119,123,657,7,123,33,27,657,657,123,23
71,33,119,657,119,123,119,103,123,33,33,657,71,33,103,59,657,100,102,87
119,100,101,102,657,103,24,122,33,116,118,33,119,657,119,59,657,120,122,33
123,33,27,657,27,119,91,33,657,657,7,657,100,102,657,91,657,657,119,27
33,120,58,33,91,657,103,123,103,657,71,119,33,23,33,23,33,123,103,59
123,119,56,122,119,27,119,103,119,33,657,33,103,55,657,87,103,33,120,90
23,657,91,657,24,90,657,119,7,33,33,103,657,87,657,123,33,657,100,102
87,33,100,102,59,119,123,657,68,5,102,218,346,122,23,103,123,103,33,657
103,23,123,657,88,122,214,215,123,39,120,379,345,657,87,657,103,123,33,657
657,55,657,123,119,657,246,247,657,68,102,119,59,657,103,33,657,103,33,561
