103,33,100,102,33,39,116,118,103,657,119,123,33,33,657,33,103,116,118,123
657,103,657,33,657,71,33,123,33,23,103,657,123,33,119,657,119,7,33,657
123,657,103,657,657,33,123,33,657,87,657,116,117,118,657,123,100,38,119,103
657,657,27,119,123,119,33,657,7,123,119,123,103,123,657,103,33,71,123,119
33,33,376,219,23,657,33,33,71,657,7,119,123,119,33,27,33,33,657,33
103,33,250,251,84,117,118,657,123,33,39,657,23,657,24,90,119,33,120,122
657,103,33,33,657,33,123,103,657,33,71,27,87,120,58,23,657,103,33,657
33,120,121,122,119,123,103,33,103,119,218,377,103,657,91,87,103,123,657,103
116,118,33,103,33,33,33,119,657,120,379,345,33,123,33,657,27,657,119,33
657,103,33,657,119,100,5,102,116,117,118,91,33,657,33,119,91,657,100,102
33,27,103,123,103,657,71,119,657,103,33,657,33,103,27,33,7,123,33,119
33,88,122,7,23,103,119,103,23,27,119,33,657,119,376,219,71,657,657,103
657,103,657,71,84,118,103,657,87,88,122,20,118,120,379,251,116,118,33,123
657,119,123,23,33,657,33,657,657,119,7,87,33,33,33,119,657,657,100,6
27,657,33,87,123,103,123,119,33,33,71,33,120,121,121,122,657,119,33,71
56,122,657,27,657,123,33,657,33,33,657,657,103,657,33,103,27,33,657,657
59,33,33,88,122,103,657,657,103,123,103,119,657,119,123,33,91,103,657,123
91,33,103,116,118,33,103,33,123,103,119,7,119,198,326,102,657,33,33,119
100,6,33,103,123,657,123,116,118,120,26,71,33,230,231,657,27,657,33,103
657,39,657,119,33,100,102,120,122,657,88,121,122,33,657,103,59,657,33,657
